1	5310095	1910
2	10315509	1933
3	15320657	1967
4	20325806	1914
5	25330955	1917
6	30336105	1898
7	35341255	1963
8	40346406	1918
9	45351559	1950
10	50356712	1956
11	55361929	1962
12	60367147	1963
13	65372365	1905
14	70377583	1919
15	75382801	1912
16	80388019	1944
17	85393239	1903
18	90398460	1955
19	95403681	1963
20	100408902	1896
21	105414192	1949
22	110419482	1886
23	115424772	1889
24	120430062	1905
25	125435352	1898
26	130440642	1912
27	135445933	1935
28	140451225	1896
29	145456517	1950
30	150461809	1914
31	155467101	1956
32	160472393	1891
33	165477685	1901
34	170482977	1942
35	175488269	1882
36	180493561	1962
37	185498853	1955
38	190504145	1970
39	195509437	1933
40	200514729	1914
41	205520021	1953
42	210525314	1958
43	215530607	1882
44	220535900	1959
45	225541193	1891
46	230546486	1951
47	235551779	1970
48	240557072	1954
49	245562365	1940
50	250567658	1918
